290 update:0 recall:1 cost:0.271807
291 update:0 recall:1 cost:0.271807
292 update:0 recall:1 cost:0.271807
293 update:0 recall:1 cost:0.271807
294 update:0 recall:1 cost:0.271807
295 update:0 recall:1 cost:0.271807
296 update:0 recall:1 cost:0.271807
297 update:0 recall:1 cost:0.271807
298 update:0 recall:1 cost:0.271807
299 update:0 recall:1 cost:0.271807
