,Indegree
17019,189
17030,3
17068,1
17078,2
17084,141
17093,9
17095,10
17096,246
17106,69
17115,1
17116,13
17133,13
17155,1
17161,2
17165,11
17169,1
17171,2
17174,1
17176,1
17187,26
17190,36
17199,6
17200,1
17203,8
17229,113
17243,2
17247,1
17256,229
17269,126
17271,166
17278,3739
17280,488
17289,6
17292,1
17297,24
17306,18
17310,3
17315,1
17319,2
17322,4
17350,1
17351,4
17367,4
17371,2
17388,1
17402,2
17405,457
17409,294
17412,1
17425,2
17429,1
17431,1
17446,2
17462,139
17488,1
17503,3
17539,2
17542,14
17543,1
17550,6
17551,1
17559,957
17570,1
17571,2
17577,2
17590,3
17591,3
17596,1
17616,4
17617,1
17625,1
17628,1
17631,5
17633,378
17642,3
17643,2
17653,6
17655,935
17660,5
17670,1
17685,44
17693,13
17697,2644
17700,66
17705,7
17724,1
17727,1
17732,436
17736,1
17746,8
17751,4
17754,8
17763,10
17766,1
17767,102
17770,5
17782,1
17785,7
17788,1
17802,83
17823,1
17833,3
17853,1
17872,1
17874,1427
17880,1
17886,1
17895,381
17923,54
17924,1
17929,28
17933,1
17939,33
17940,7
17942,1
17946,1
17983,1679
17995,6
17997,26
18001,2
18007,5413
18053,1
18066,3
18068,2
18080,31
18083,1
18086,27
18095,212
18098,1
18104,2
18113,2
18133,3
18134,22
18151,113
18162,1
18165,555
18180,285
18208,36
18211,27
18226,26
18229,1
18234,1
18244,1
18255,7
18257,1
18262,1
18293,1
18301,7
18306,1
18318,82
18319,97
18321,134
18326,4
18381,1
18383,2
18387,2
18397,5157
18403,16
18413,1298
18426,6
18438,1
18448,2
18456,1
18458,1
18462,10
18463,21
18465,1
18469,1
18498,1
18501,1
18507,57
18510,1
18515,1508
18522,2
18525,1
18526,104
18532,18403
18534,2
18561,2
18575,6
18579,1
18580,2
18594,979
18607,7
18612,2
18613,8
18621,12
18654,1
18660,2
18669,4
18674,12
18676,626
18683,6
18684,64
18687,1
18690,2
18692,5
18711,4
18716,9058
18723,1
18727,1
18730,4
18744,3
18746,66
18756,35
18760,13
18765,2
18772,48
18787,6
18790,2
18795,32
18816,244
18821,2
18832,1
18833,44
18836,12
18849,4
18863,16
18868,6
18872,213
18882,4
18891,5
18898,32
18912,4
18918,178
18921,206
18927,1
18928,1
18930,1
18931,2838
18933,86
18944,4
18966,12
18990,2
19009,32
19015,72
19026,73
19032,1
19039,41
19054,3
19065,1
19072,1
19078,1
19097,4
19110,1
19114,5
19125,3
19131,1
19144,1
19163,2
19182,1
19184,1
19191,1
19192,1
19198,3
19202,1
19207,59
19209,6
19216,1
19230,18
19233,37
19235,4
19239,603
19243,1
19246,7
19251,111
19270,3
19278,33
19281,6
19288,28
19330,2
19350,13
19385,3
19402,4
19403,1
19419,1
19421,8
19426,1
19427,1
19457,4
19468,1
19474,74
19480,3
19481,69
19483,8
19505,42
19510,1
19533,11
19542,1
19545,38
19558,10
19566,2
19568,14
19569,2
19574,85
19575,1
19579,1
19586,1
19592,22
19597,27
19613,22
19616,3
19618,12
19630,3
19631,5
19639,1
19651,949
19652,4285
19655,2
19665,27
19681,1
19705,1
19714,9
19727,302
19738,2
19750,1
19751,1
19763,9
19812,16
19814,24
19836,100
19843,1
19860,1
19864,1
19882,3
19892,101
19914,10
19916,7
19922,21
19925,25
19929,6
19931,47
19932,9
19934,103
19935,11
19938,2
19940,1
19951,13
19954,4
19961,10
19964,54
19991,12
19995,20169
19996,55
20006,7
20020,3
20021,2
20024,1
20030,752
20031,339
20075,2
20083,11
